Rank,Language,Percentage,Change,Source
1,JavaScript,18.789,-1.133,https://madnight.github.io
2,Python,16.108,-1.694,https://madnight.github.io
3,Java,10.731,0.25,https://madnight.github.io
4,Go,8.922,1.006,https://madnight.github.io
5,C++,7.636,0.383,https://madnight.github.io
6,TypeScript,7.334,1.919,https://madnight.github.io
7,Ruby,6.49,0.196,https://madnight.github.io
8,PHP,5.19,-0.318,https://madnight.github.io
9,C#,3.97,-0.204,https://madnight.github.io
10,C,3.32,0.13,https://madnight.github.io
