Rank,Change,Language,Share,Trend,Source
1,,Python,31.59 %,+3.3 %,http://pypl.github.io/
2,,Java,16.9 %,-2.7 %,http://pypl.github.io/
3,,Javascript,8.17 %,+0.0 %,http://pypl.github.io/
4,,C#,6.54 %,-0.7 %,http://pypl.github.io/
5,,C/C++,5.88 %,+0.1 %,http://pypl.github.io/
6,,PHP,5.78 %,-0.7 %,http://pypl.github.io/
7,,R,4.18 %,+0.3 %,http://pypl.github.io/
8,,Objective-C,2.6 %,-0.0 %,http://pypl.github.io/
9,,Swift,2.35 %,-0.0 %,http://pypl.github.io/
10,,TypeScript,1.94 %,+0.2 %,http://pypl.github.io/
